year,proportion,ngram
1875,0.0,loi de Zipf
1876,0.0,loi de Zipf
1877,0.0,loi de Zipf
1878,0.0,loi de Zipf
1879,0.0,loi de Zipf
1880,0.0,loi de Zipf
1881,0.0,loi de Zipf
1882,0.0,loi de Zipf
1883,0.0,loi de Zipf
1884,0.0,loi de Zipf
1885,0.0,loi de Zipf
1886,0.0,loi de Zipf
1887,0.0,loi de Zipf
1888,0.0,loi de Zipf
1889,0.0,loi de Zipf
1890,0.0,loi de Zipf
1891,0.0,loi de Zipf
1892,0.0,loi de Zipf
1893,0.0,loi de Zipf
1894,0.0,loi de Zipf
1895,0.0,loi de Zipf
1896,0.0,loi de Zipf
1897,0.0,loi de Zipf
1898,0.0,loi de Zipf
1899,0.0,loi de Zipf
1900,0.0,loi de Zipf
1901,0.0,loi de Zipf
1902,0.0,loi de Zipf
1903,0.0,loi de Zipf
1904,0.0,loi de Zipf
1905,0.0,loi de Zipf
1906,0.0,loi de Zipf
1907,5.39975730795561e-10,loi de Zipf
1908,0.0,loi de Zipf
1909,0.0,loi de Zipf
1910,0.0,loi de Zipf
1911,0.0,loi de Zipf
1912,0.0,loi de Zipf
1913,0.0,loi de Zipf
1914,0.0,loi de Zipf
1915,0.0,loi de Zipf
1916,0.0,loi de Zipf
1917,0.0,loi de Zipf
1918,0.0,loi de Zipf
1919,0.0,loi de Zipf
1920,0.0,loi de Zipf
1921,0.0,loi de Zipf
1922,0.0,loi de Zipf
1923,0.0,loi de Zipf
1924,0.0,loi de Zipf
1925,0.0,loi de Zipf
1926,0.0,loi de Zipf
1927,0.0,loi de Zipf
1928,0.0,loi de Zipf
1929,0.0,loi de Zipf
1930,0.0,loi de Zipf
1931,0.0,loi de Zipf
1932,0.0,loi de Zipf
1933,0.0,loi de Zipf
1934,0.0,loi de Zipf
1935,0.0,loi de Zipf
1936,0.0,loi de Zipf
1937,0.0,loi de Zipf
1938,0.0,loi de Zipf
1939,0.0,loi de Zipf
1940,0.0,loi de Zipf
1941,0.0,loi de Zipf
1942,9.572353576459136e-09,loi de Zipf
1943,0.0,loi de Zipf
1944,0.0,loi de Zipf
1945,0.0,loi de Zipf
1946,8.7732399123297e-09,loi de Zipf
1947,6.256680507021883e-09,loi de Zipf
1948,0.0,loi de Zipf
1949,0.0,loi de Zipf
1950,5.585344631242606e-09,loi de Zipf
1951,1.1201418681494602e-09,loi de Zipf
1952,2.2167074842371903e-09,loi de Zipf
1953,5.6563376205076565e-09,loi de Zipf
1954,1.0263644378838421e-09,loi de Zipf
1955,9.861318428505683e-10,loi de Zipf
1956,4.580343659910113e-09,loi de Zipf
1957,2.8777247251809968e-08,loi de Zipf
1958,1.6508193922959435e-08,loi de Zipf
1959,1.0584344067865459e-08,loi de Zipf
1960,2.2532939070174507e-08,loi de Zipf
